2011-04-25 21:00:25 Debug: Notice (8): Undefined variable: photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 6]
2011-04-25 21:00:25 Debug: Notice (8): Undefined variable: photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 11]
2011-04-25 21:00:25 Debug: Notice (8): Undefined variable: photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 16]
2011-04-25 21:06:12 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 6]
2011-04-25 21:06:12 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 11]
2011-04-25 21:06:12 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 16]
2011-04-25 21:06:13 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 6]
2011-04-25 21:06:13 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 11]
2011-04-25 21:06:13 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 16]
2011-04-25 21:06:14 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 6]
2011-04-25 21:06:14 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 11]
2011-04-25 21:06:14 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 16]
2011-04-25 21:06:14 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 6]
2011-04-25 21:06:14 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 11]
2011-04-25 21:06:14 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 16]
2011-04-25 21:06:49 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 7]
2011-04-25 21:06:49 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 12]
2011-04-25 21:06:49 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 17]
2011-04-25 21:06:50 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 7]
2011-04-25 21:06:50 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 12]
2011-04-25 21:06:50 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 17]
2011-04-25 21:07:15 Debug: Notice (8): Undefined variable: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 1]
2011-04-25 21:07:15 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 7]
2011-04-25 21:07:15 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 12]
2011-04-25 21:07:15 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 17]
2011-04-25 21:07:17 Debug: Notice (8): Undefined variable: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 1]
2011-04-25 21:07:17 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 7]
2011-04-25 21:07:17 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 12]
2011-04-25 21:07:17 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 17]
2011-04-25 21:07:20 Debug: Notice (8): Undefined variable: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 1]
2011-04-25 21:07:20 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 7]
2011-04-25 21:07:20 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 12]
2011-04-25 21:07:20 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 17]
2011-04-25 21:07:23 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 7]
2011-04-25 21:07:23 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 12]
2011-04-25 21:07:23 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 17]
2011-04-25 21:07:26 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 7]
2011-04-25 21:07:26 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 12]
2011-04-25 21:07:26 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 17]
2011-04-25 21:08:04 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 7]
2011-04-25 21:08:04 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 12]
2011-04-25 21:08:04 Debug: Notice (8): Undefined index: Photo in [C:\xampp\htdocs\FacepalmRoulette\myapp\views\photos\next.ctp, line 17]
